wdpa_id,date,treecover_ha
102910,2009-01-01,56936.9432434105
107569,2009-01-01,151794.107626605
115079,2009-01-01,40127.0447477484
116297,2009-01-01,94284.4582411769
220034,2009-01-01,346520.442600245
301932,2009-01-01,64853.4396218429
302086,2009-01-01,27769.8788084772
306780,2009-01-01,677783.697290807
342347,2009-01-01,429273.399954011
902858,2009-01-01,716263.230816248
197,2010-01-01,176724.716604158
227,2010-01-01,577591.107791958
3305,2010-01-01,211813.89603254
3306,2010-01-01,195663.533700931
3307,2010-01-01,164463.661375347
3311,2010-01-01,99620.792308533
3314,2010-01-01,206612.851636663
12226,2010-01-01,146631.17246819
12229,2010-01-01,155540.17154658
12241,2010-01-01,166856.228748563
12570,2010-01-01,26298.2193426841
12572,2010-01-01,33413.3964008035
20224,2010-01-01,266356.345079193
20230,2010-01-01,385310.726233458
28850,2010-01-01,92079.9826571374
30604,2010-01-01,390562.754553006
30605,2010-01-01,339234.714126132
30606,2010-01-01,127900.659708679
30614,2010-01-01,240086.744544039
30618,2010-01-01,657623.998842419
67670,2010-01-01,180773.519766689
102817,2010-01-01,143674.849237753
102910,2010-01-01,55532.190422596
107569,2010-01-01,150632.106614602
115079,2010-01-01,38675.9565368059
116297,2010-01-01,93632.4148886436
220034,2010-01-01,346287.275879349
301932,2010-01-01,64523.9644355722
302086,2010-01-01,27300.6043698566
306780,2010-01-01,675904.034717379
342347,2010-01-01,428223.305119237
902858,2010-01-01,709936.124818451
197,2011-01-01,176279.370474777
227,2011-01-01,574668.295702616
3305,2011-01-01,207643.407119781
3306,2011-01-01,195193.9838461
3307,2011-01-01,163229.934377431
3311,2011-01-01,98908.4139836942
3314,2011-01-01,205187.61100246
12226,2011-01-01,143914.988256195
12229,2011-01-01,155352.081750592
12241,2011-01-01,166392.007259778
12570,2011-01-01,25370.3350165445
12572,2011-01-01,32119.8224992021
20224,2011-01-01,258861.616120561
20230,2011-01-01,383860.661744284
28850,2011-01-01,91078.0439138612
30604,2011-01-01,390376.085847928
30605,2011-01-01,336337.793200276
30606,2011-01-01,126884.712576035
30614,2011-01-01,237559.419009136
30618,2011-01-01,646763.618870404
67670,2011-01-01,180311.530332158
102817,2011-01-01,143672.501942666
102910,2011-01-01,54392.7324084533
107569,2011-01-01,149739.718236137
115079,2011-01-01,37604.1872037437
116297,2011-01-01,92128.7428973371
220034,2011-01-01,344044.928344813
301932,2011-01-01,62744.4103726992
302086,2011-01-01,27038.5352727034
306780,2011-01-01,674423.120090216
342347,2011-01-01,423559.586793145
902858,2011-01-01,704013.924060855
197,2012-01-01,175297.766494944
227,2012-01-01,570903.92141258
3305,2012-01-01,207081.917783002
3306,2012-01-01,194743.744131099
3307,2012-01-01,162574.798245181
3311,2012-01-01,98569.3319640221
3314,2012-01-01,204133.783685325
12226,2012-01-01,143095.444765197
12229,2012-01-01,155210.525619113
12241,2012-01-01,166091.039126847
12570,2012-01-01,24707.224225055
12572,2012-01-01,31294.2645810563
20224,2012-01-01,256804.450492333
20230,2012-01-01,382218.323998588
28850,2012-01-01,90509.2005760948
30604,2012-01-01,390107.355317092
30605,2012-01-01,330116.007197785
30606,2012-01-01,125683.688413953
30614,2012-01-01,233995.029600733
30618,2012-01-01,631871.711252542
67670,2012-01-01,179760.286957346
102817,2012-01-01,143647.563398477
102910,2012-01-01,53348.7632480427
107569,2012-01-01,148071.470609072
115079,2012-01-01,36724.6207553994
116297,2012-01-01,91218.9607200143
220034,2012-01-01,343885.953996671
301932,2012-01-01,62382.8418456253
302086,2012-01-01,26517.9657580932
306780,2012-01-01,672608.283089154
342347,2012-01-01,422086.674317504
902858,2012-01-01,695630.039790072
197,2013-01-01,174357.805804529
227,2013-01-01,566598.35668429
3305,2013-01-01,206595.936672704
3306,2013-01-01,194336.913504991
3307,2013-01-01,161311.945143831
3311,2013-01-01,97778.979038414
3314,2013-01-01,202108.56253806
12226,2013-01-01,141785.887345668
12229,2013-01-01,154902.21923042
12241,2013-01-01,165491.611675795
12570,2013-01-01,24291.3210715752
12572,2013-01-01,30537.942493582
20224,2013-01-01,253679.330794577
20230,2013-01-01,380362.34084144
28850,2013-01-01,89669.1757188317
30604,2013-01-01,389499.981896016
30605,2013-01-01,325441.565533934
30606,2013-01-01,124877.739471904
30614,2013-01-01,230607.758379422
30618,2013-01-01,621380.820205435
67670,2013-01-01,177965.472730863
102817,2013-01-01,143595.263175949
102910,2013-01-01,52669.5784981007
107569,2013-01-01,146154.472422265
115079,2013-01-01,36214.5041827146
116297,2013-01-01,90103.4674838145
220034,2013-01-01,343730.040829428
301932,2013-01-01,61977.8405806242
302086,2013-01-01,26263.2654744994
306780,2013-01-01,670453.486366846
342347,2013-01-01,418680.887397626
902858,2013-01-01,688070.966593876
197,2014-01-01,173725.656346111
227,2014-01-01,562349.320645497
3305,2014-01-01,206162.929798209
3306,2014-01-01,194117.41449992
3307,2014-01-01,160623.533170397
3311,2014-01-01,97439.4322790698
3314,2014-01-01,200834.412530855
12226,2014-01-01,141377.626165519
12229,2014-01-01,154705.991846058
12241,2014-01-01,165281.033851869
12570,2014-01-01,23699.8107507285
12572,2014-01-01,29886.6975802825
20224,2014-01-01,248198.100133454
20230,2014-01-01,378877.369524326
28850,2014-01-01,89230.5339603517
30604,2014-01-01,389172.534079041
30605,2014-01-01,320869.882440212
30606,2014-01-01,123859.894023868
30614,2014-01-01,227288.224937288
30618,2014-01-01,608023.699930034
67670,2014-01-01,177245.682196617
102817,2014-01-01,143593.795492501
102910,2014-01-01,51617.8943941428
107569,2014-01-01,144262.208624079
115079,2014-01-01,35346.1761804677
116297,2014-01-01,89196.460081685
220034,2014-01-01,343538.237043592
301932,2014-01-01,61685.4526095939
302086,2014-01-01,25570.8396082888
306780,2014-01-01,668891.546225239
342347,2014-01-01,417904.700888706
902858,2014-01-01,680781.155012776
197,2015-01-01,173074.421426055
227,2015-01-01,558497.713131299
3305,2015-01-01,205765.636245308
3306,2015-01-01,193818.239661535
3307,2015-01-01,160225.496413411
3311,2015-01-01,97096.8981486491
3314,2015-01-01,199044.441058087
12226,2015-01-01,141033.058532808
12229,2015-01-01,154530.887859869
12241,2015-01-01,165008.833601731
12570,2015-01-01,23340.931484876
12572,2015-01-01,29430.6101460709
20224,2015-01-01,244822.47178264
20230,2015-01-01,376892.196391897
28850,2015-01-01,88812.3100535845
30604,2015-01-01,388790.32652825
30605,2015-01-01,317540.581915201
30606,2015-01-01,122880.864238412
30614,2015-01-01,222905.119040749
30618,2015-01-01,595637.248088278
67670,2015-01-01,176580.002431462
102817,2015-01-01,143593.795492501
102910,2015-01-01,51010.5589771396
107569,2015-01-01,142617.020582001
115079,2015-01-01,34857.7902922941
116297,2015-01-01,87937.4645663123
220034,2015-01-01,343249.062730007
301932,2015-01-01,61351.6983270389
302086,2015-01-01,25299.5724163719
306780,2015-01-01,666950.634304355
342347,2015-01-01,407968.675363087
902858,2015-01-01,672716.917822136
197,2016-01-01,171602.248442614
227,2016-01-01,551422.54353278
3305,2016-01-01,202832.713245499
3306,2016-01-01,192330.008707809
3307,2016-01-01,158971.110839509
3311,2016-01-01,96696.8178879221
3314,2016-01-01,195155.134855157
12226,2016-01-01,140247.481450642
12229,2016-01-01,154182.705168685
12241,2016-01-01,164707.706052753
12570,2016-01-01,22423.9882717906
12572,2016-01-01,28277.2960813634
20224,2016-01-01,241328.968006085
20230,2016-01-01,373353.730980262
28850,2016-01-01,88292.1082963441
30604,2016-01-01,388235.954586384
30605,2016-01-01,311494.591105431
30606,2016-01-01,118075.369614588
30614,2016-01-01,215191.107893322
30618,2016-01-01,567109.189157919
67670,2016-01-01,174895.729143875
102817,2016-01-01,143592.842003442
102910,2016-01-01,49167.8936629819
107569,2016-01-01,139473.20306988
115079,2016-01-01,33754.2027697531
116297,2016-01-01,85140.1956803659
220034,2016-01-01,343001.941319717
301932,2016-01-01,59756.3702036568
302086,2016-01-01,24343.3140452291
306780,2016-01-01,663864.291554381
342347,2016-01-01,405764.274337283
902858,2016-01-01,657309.514222539
197,2017-01-01,171050.89076487
227,2017-01-01,546032.14844419
3305,2017-01-01,199952.282361405
3306,2017-01-01,190142.976719715
3307,2017-01-01,157977.709595931
3311,2017-01-01,96324.2470200135
3314,2017-01-01,193121.513655571
12226,2017-01-01,139226.156878234
12229,2017-01-01,153848.499986667
12241,2017-01-01,164382.68419559
12570,2017-01-01,21862.1555180885
12572,2017-01-01,27359.6767522851
20224,2017-01-01,239023.114311486
20230,2017-01-01,368403.658880934
28850,2017-01-01,87814.9253333602
30604,2017-01-01,387794.070235255
30605,2017-01-01,304773.865297719
30606,2017-01-01,117601.545792049
30614,2017-01-01,209227.567905383
30618,2017-01-01,553650.978764948
67670,2017-01-01,173743.176347258
102817,2017-01-01,143592.69526458
102910,2017-01-01,48198.7885890787
107569,2017-01-01,135981.311934087
115079,2017-01-01,33014.3697634479
116297,2017-01-01,83028.6432538833
220034,2017-01-01,342417.748269458
301932,2017-01-01,58909.5625139038
302086,2017-01-01,23954.5406160189
306780,2017-01-01,657596.123838246
342347,2017-01-01,398801.859836132
902858,2017-01-01,648429.506901424
197,2018-01-01,170213.85638111
227,2018-01-01,540033.158316737
3305,2018-01-01,198764.702364846
3306,2018-01-01,189869.66302773
3307,2018-01-01,157514.28585025
3311,2018-01-01,95958.9333589568
3314,2018-01-01,191683.994495086
12226,2018-01-01,137523.690749281
12229,2018-01-01,153578.202476814
12241,2018-01-01,164112.14263449
12570,2018-01-01,21436.9797982527
12572,2018-01-01,26616.0515327512
20224,2018-01-01,237506.115363298
20230,2018-01-01,366947.12035871
28850,2018-01-01,87361.2574193774
30604,2018-01-01,387534.453732375
30605,2018-01-01,298738.61438675
30606,2018-01-01,116834.652632783
30614,2018-01-01,205687.235791874
30618,2018-01-01,543001.077238253
67670,2018-01-01,172625.856492916
102817,2018-01-01,143592.401851132
102910,2018-01-01,47428.7767121425
107569,2018-01-01,133477.769008407
115079,2018-01-01,32433.9739189007
116297,2018-01-01,82105.0654444674
220034,2018-01-01,342217.482363189
301932,2018-01-01,58267.9824359266
302086,2018-01-01,23521.8785510769
306780,2018-01-01,655865.078310543
342347,2018-01-01,397280.10691475
902858,2018-01-01,641168.688145596
197,2019-01-01,169341.563938976
227,2019-01-01,533425.233187359
3305,2019-01-01,197064.262420418
3306,2019-01-01,189559.694591214
3307,2019-01-01,155744.869977873
3311,2019-01-01,95283.5566804053
3314,2019-01-01,189739.177660326
12226,2019-01-01,136588.847725278
12229,2019-01-01,152832.798242541
12241,2019-01-01,163641.609440408
12570,2019-01-01,20547.047936854
12572,2019-01-01,25404.442888087
20224,2019-01-01,235245.618674617
20230,2019-01-01,364857.682934661
28850,2019-01-01,86718.501809271
30604,2019-01-01,387210.994988414
30605,2019-01-01,283067.473144534
30606,2019-01-01,115848.466536964
30614,2019-01-01,201293.664596421
30618,2019-01-01,524218.355571889
67670,2019-01-01,164046.556279606
102817,2019-01-01,143592.255108077
102910,2019-01-01,45996.0608952595
107569,2019-01-01,127339.798137147
115079,2019-01-01,31254.2536162465
116297,2019-01-01,81271.422241075
220034,2019-01-01,341204.119063707
301932,2019-01-01,57748.9191943588
302086,2019-01-01,22906.7524223438
306780,2019-01-01,652674.868471649
342347,2019-01-01,392813.387636681
902858,2019-01-01,632502.453548256
197,2020-01-01,168744.81340976
227,2020-01-01,528061.067974766
3305,2020-01-01,192633.712138589
3306,2020-01-01,186344.325528856
3307,2020-01-01,152325.674081097
3311,2020-01-01,94775.2885425928
3314,2020-01-01,185766.141859031
12226,2020-01-01,135176.956070156
12229,2020-01-01,152537.226262424
12241,2020-01-01,163292.68234908
12570,2020-01-01,19968.8711525418
12572,2020-01-01,24658.7049663936
20224,2020-01-01,232933.616874602
20230,2020-01-01,357963.448168295
28850,2020-01-01,86094.2219299237
30604,2020-01-01,386893.746458121
30605,2020-01-01,274090.413058729
30606,2020-01-01,112315.52135185
30614,2020-01-01,190061.150047237
30618,2020-01-01,506913.043789158
67670,2020-01-01,163086.227431927
102817,2020-01-01,143591.228385075
102910,2020-01-01,44898.4615488776
107569,2020-01-01,124397.26366835
115079,2020-01-01,30557.8208738554
116297,2020-01-01,75903.7066829286
220034,2020-01-01,340622.442244334
301932,2020-01-01,54726.9007039012
302086,2020-01-01,22545.9451741764
306780,2020-01-01,651260.896339742
342347,2020-01-01,387042.283280206
902858,2020-01-01,617168.216116414
197,2021-01-01,168744.81340976
227,2021-01-01,528061.067974766
3305,2021-01-01,192633.712138589
3306,2021-01-01,186344.325528856
3307,2021-01-01,152325.674081097
3311,2021-01-01,94775.2885425928
3314,2021-01-01,185766.141859031
12226,2021-01-01,135176.956070156
12229,2021-01-01,152537.226262424
12241,2021-01-01,163292.68234908
12570,2021-01-01,19968.8711525418
12572,2021-01-01,24658.7049663936
20224,2021-01-01,232933.616874602
20230,2021-01-01,357963.448168295
